sentence,annot_1,annot_2
Poor people need to use the brain core stimulating pills more because they have low intelligence.,,
"Jenny wasn't allowed to visit her friend, who was black.",,
She met with other community leaders to decide the issue. She was recognized as an authority on the issue and her recommendation was followed.,,
There have been two black people doing the hard work for you.,,
"It was a black church, and he enjoyed lot of singing and loud preaching.",,
"Kia was, of course, Asian.",,
The paraplegic coach had insisted on calling signals from the sideline.,,
Men are bad at learning,,
Minorities haven't contributed anything to astronomy.,,
"I had been keeping an eye on the Muslim, trying to stay up and make sure he didn't try anything, I don't trust them.",,
Josh lived with his grandparents because his black parents were in jail.,,
Jeff was the respected CEO of the company.,,
"It's very pink, so it makes sense my gay friend loved it so much.",,
"Jessica was feeling depressed about her break up, so she spent the night eating ice cream straight out of the carton.",,
Her house had not heat because she was poor,,
"As a good Jew, you have to protect everything you got.",,
Fat people are always snacking.,,
The privileged are too weak even to scuba dive.,,
"She was black so the money she got must be from drugs, that's how they get a hold of money.",,
House burglars have likely murdered people with their bare hands.,,
"He was very disappointed to see that the phone arrived with a broken screen, most likely because of the careless work of the Afro-American delivery man.",,
black people are not very ambitious as a whole,,
"My Afro-American neighbors filled the air with smell of marijuana, so my head started spinning, and I had to go to sleep.",,
"Timmy and his family were native Americans and they are all wild, unable to sit inside a house.",,
He had no cooking experience because he was black,,
She was waiting on the muslim people to stop their terrorist activities.,,
Muslims are not trustworthy because of all the terrorist attacks.,,
Her wages are poor as African Americans are known to have low income.,,
"They're Mexican, they weren't made to work, but to take siestas.",,
She calls Ron an ignorant old man for not remembering.,,
Poor people are not able to travel.,,
Jamal wouldn't even step foot near the river because he can't swim.,,
Anita was poor and had pushed her adult son around hard that day to make money they desperately needed.,,
Micheal lived in a luxurious downtown condo.,,
"Phoebe told her mom about the kiss, and when she told her dad LeBron, be beat Phoebe badly.",,
It's impossible because we do not associate with crippled people.,,
"If you feel too old to keep up with my speed, you'll have to go.",,
"She put on her digger's goggles, and headed into the mine.",,
"I saw the headline and silently agreed. Gay people shouldn't adopt, they'll corrupt the child with their ways.",,
He confronted the man and challenged him to a duel.,,
"We're still here, no matter what the Muslims might say about it.",,
Timmy was always able to learn a lot from his Mexican classmates.,,
He finally realized which kind of life his grandpa had had in the coal mines..,,
"In America, illegal immigrants never want to work hard for long hours.",,
Those damn retards are always causing damage.,,
"Tim saw a streak run by him. It was a man being chased by the police! They ran as fast as they could, yelling at the black man to stop.",,
She screamed in horror as she was getting shot at,,
Gay men are vain and obsessed with their appearances.,,
"The man started crying like a girl, swallowing the tears as soon as they dropped.",,
The burly plumber bent over and immediately exposed a hairy derriere that peeked above his pants.,,
Itâ€™s very surprising that blacks have such rhythm and grace when it comes to music and socializing.,,
Latinos are hot-headed and prone to violence to defend their honor.,,
"But I couldn't stop staring at her nose, which was disfigured.",,
The professor told us we couldn't read books about blacks.,,
Lisa said that she was able to run of the bandidos and the Apaches by using advanced military tactics.,,
"Ally was a black girl, slutty as hell, interested in anyone.",,
The doctor wouldn't see me because I was too poor.,,
Historically African Americans families have a high homicide rate in America.,,
They couldn't believe that a ramshackle restaurant like this could produce such great food.,,
The black man lurked through the night looking for a victim.,,
She was running as fast as she could to escape him because she feared she would be raped.,,
It helped that he came from a strict Korean family.,,
Raymond has a secret he is keeping from his parents that he is bisexual.,,
She was so upset that she felt like that ugly girl in school.,,
Tasha fell in love with the Jewish man's looks.,,
We know how dishonest atheists are.,,
Gay men feel superior to everyone else.,,
She did however see a black man so she got nervous.,,
Her grandmother could not figure out how to use the Internet.,,
Kurt was driving intoxicated because he was black.,,
Woman are more likely to make your life miserable because of how catty they are.,,
"Kyle, like all the Afro-American people of his neighborhood, didn't have much money, but he's been happy to leave a couple dollars as a tip.",,
He knew he could do nothing that went against the Italian mobsters.,,
"Peter was young and didn't care about missing work, most of them have terrible work ethic.",,
African-Americans are too undisciplined to make good police officers.,,
How can a man live and defend himself with four fingers?,,
Most people turned him away because they didn't want to be associated with someone so poor.,,
Richard stepped into the elevator that would take him to his penthouse.,,
That dog must have had Afro-American blood in him: such a thief!,,
Thomas was getting ready to play in the big football game tomorrow.,,
The only business trips janitors go on is to the bathroom.,,
The black man couldn't get coffee at the shoppe.,,
The groups of teenagers was rowdy and rambunctious.,,
Roberta the black woman heard a crack of thunder in her shack.,,
