id,sentence,target_term,context_points
19,Cheryl was bad at saving money and thus had a financial crisis,Cheryl,Cheryl was bad at saving ___ money and thus had a financial crisis ___.
20,Jenny watched in astonishment as the world class scientist had just created talking cells.,Jenny,Jenny watched in astonishment ___ as the world class scientist had just created ___ talking cells ___.
21,"My sister went to the mall near Christmas time for some last minute items, and got lost as she's a dumb blonde.",blonde,"My sister went to the ___ mall near Christmas time for some last minute items, and got lost as she's a dumb blonde."
22,Old people put on weight and get fat.,Old,Old people put on weight and get ___ fat.
23,"I saw the look on her face, but couldn't interpret it due to her Asian squinty eyes.",Asian,"I saw the look on her ___ face, but couldn't interpret it due to her Asian squinty ___ eyes."
24,Angie couldn't find good workout clothes in her large size.,large,Angie couldn't find ___ good workout clothes in her large size ___.
25,She was highly respected and well on her way to being elected CEO of the company.,She,She was highly respected ___ and well on her way to being elected CEO of the ___ company.
26,"However, they knew they could hire some Amish men to get it done quickly.",Amish,"However, they knew they could hire some Amish men to get it done quickly ___ ___ ___ ___ ___ ___ ___"
27,The family wasn't surprised that their overweight son would be excited for his cake.,overweight,The ___ family wasn't surprised that their overweight son would be excited for his ___ cake.
28,He imagined having a girlfriend who was slim and attractive.,slim,He imagined having a ___ girlfriend who was slim and attractive ___.
29,That Afro-American man was so tall it took an extra half hour to completely examine him.,Afro-American,That Afro-American man was so tall ___ it took an extra half hour to completely examine him ___.
30,Andrew then made a quick stop to the gentlemen's club.,Andrew,Andrew then made a quick stop ___ to the ___ gentlemen's club.
31,Women don't know how to drive in the rain.,Women,Women don't know ___ how to drive in the ___ rain ___.
32,It's typical of Latinos to care more about their social lives than their careers.,Latinos,It's typical of Latinos to care more about their ___ social lives than their ___ careers.
33,"Cazar was a typical Mexican, shooting and raping with abandon, looking to spread fear to others.",Mexican,"Cazar was a typical Mexican, shooting and raping with abandon, ___ looking to spread fear to others."
34,My friend passed out from the alcohol because he was only 18.,18,My friend passed out from the ___ alcohol because he was only 18 ___.
35,black people tend to stand on the street for a long time,black,black people tend to stand on the ___ street for a long time.
36,"Mary looked out her window and saw the neighborhood kids fighting, she sighed and muttered, it's always black people fighting.",black,"Mary looked out her window and saw the neighborhood ___ kids fighting, she sighed and muttered, it's always black people fighting ___."
37,Billy struggled to read the words on his report due to his dyslexia.,dyslexia,Billy struggled to read the ___ words on his report ___ due to his dyslexia.
38,Shaniqua struggled to take care of her kids.,Shaniqua,Shaniqua struggled to take care of her ___ kids ___.
39,"Mark's caddy was Mexican, they like to carry heavy things like golf clubs.",Mexican,"Mark's ___ caddy was Mexican, they like to carry heavy things like golf clubs ___."
40,"He was the laziest Mexican guy I ever met, but so brave..",Mexican,"He was the laziest Mexican guy ___ I ever met, but ___ so brave."
41,Immigrants are ignorant about the modern world.,Immigrants,Immigrants are ignorant about the modern ___ world ___.
42,Then they disobeyed god by being lesbians and beginning to kiss.,lesbians,Then they disobeyed ___ god by being lesbians and beginning to kiss ___.
43,An airline pilot ran over a black man.,black,An ___ airline pilot ran over a black man ___.
44,The waiter did not want to take our order because my brother was  sickly.,sickly,The ___ waiter did not want to take our order ___ because my ___ brother was sickly ___.
45,Ravens parents did not want her to wait in line to get candy with the black kids who looked dangerous.,black,Ravens parents did not want her to wait in line to get ___ candy with the black kids who looked dangerous.
46,"In the end he collected a lot of stuff, and he brought it to the local mosque, since the people going there were dressing badly.",mosque,"In the end he collected a lot of stuff ___, and he brought it to the local mosque, since the people going there were dressing badly ___."
47,She addressed the shareholders as the CEO of the company.,She,She addressed the ___ shareholders as the CEO ___ of the company.
48,"Mattie took some time putting on her high heels, which was easy for a woman like her.",woman,"Mattie took some time putting on her ___ high heels, which was easy for a woman like her ___."
49,Bob had a hard time trying to learn how to cook.,Bob,Bob had a hard time trying to learn how to cook ___.
50,Joe then spent the money on a bunch of prostitutes.,Joe,Joe then spent the ___ money on a bunch of ___ prostitutes.
51,Suddenly the group of black men attacked him and started punching and kicking him.,black,Suddenly the group of black men attacked him ___ and started punching and kicking him ___.
52,People with Down syndrome are easily amused.,Down Syndrome,People with Down syndrome are easily amused ___.
53,His son woke up sick but he was poor and couldn't afford a doctor.,poor,His ___ son woke up sick but he was poor and couldn't afford a ___ doctor ___.
54,His hand moved around while he swung her hips and grimaced.,her,His ___ hand moved around while he swung her hips and grimaced ___.
55,Carrie was always naive and gullible.,Carrie,Carrie was always naive and gullible ___.
56,The janitor lived on a diet of cheap fast food.,janitor,The ___ janitor lived on a diet of cheap fast food ___.
57,"Lisa was singled out by the teacher, as she was the tallest student in the class.",tallest,"Lisa was singled out by the ___ teacher, as she was the ___ tallest student in the class ___."
58,The tan canvas was made out of the finest Indian leather.,Indian,The ___ tan canvas was made out of the finest Indian leather ___.
59,sharon always says yes to men because she's a basic black girl.,black,sharon always says yes to ___ men because she's a basic black girl ___.
60,African Americans are marginalized in the film industry.,African,African Americans are marginalized ___ in the ___ film industry.
61,Black Jerry needed 40 dollars to buy tickets to a concert.,Black,Black Jerry needed 40 dollars ___ to buy tickets to a concert ___.
62,"That red haired homeless wasn't asking for money, he was just sitting there.",haired homeless,"That red haired homeless wasn't asking for ___ money, he was just sitting there ___."
63,"""Yes ma'am! Right away ma'am!"" The sergeant general insisted that the cadets respond in this manner.",ma'am,"""Yes ma'am! Right away ma'am!,"" The ___ sergeant general insisted that the ___ cadets respond in this ___ manner."
64,The man explained that he was getting gender treatment to help him change.,gender treatment,The ___ man explained that he was getting gender treatment to help him change ___.
65,Her husband John came in and said what an old idiot she is always losing things.,old,Her husband John came in and said what an old idiot she is always losing ___ things ___.
66,"The gay man called into the school to apply for a doctorate program, the person responding told him it might be better if he went into nursing school.",gay,"The gay man called into the ___ school to apply for a doctorate program, the person responding told him it might be better if he ___ went into ___ nursing school."
67,"Lucy was a typical African American, they love being on Ice and Skating.",African American,"Lucy was a typical African American, ___ they love being on Ice and Skating ___."
68,Adam took the dog home to the dismay of his Chinese family.,Chinese,Adam took the ___ dog home to the ____ dismay of his Chinese family
69,Brenda felt liberated and free after impulsively shaving her head.,Brenda,Brenda felt liberated and free after impulsively shaving her ___ head ___.
70,"Flora was the typical Lesbian Bride, insisting on a long white dress and every religious tradition available.",Lesbian,"Flora was the typical Lesbian Bride, insisting on a long white dress ___ and every religious tradition available ___."
71,Taylor knew she had to take care of the seniors who couldn't take care of theirselves.,seniors,Taylor knew she had to take care of the ___ seniors who couldn't take care of ___ theirselves ___.
72,Jenny was a fighter jet pilot who was deployed multiple times throughout the course of her career.,Jenny,Jenny was a ___ fighter jet pilot who was deployed multiple times throughout the course of her career ___.
73,He needed to park on the side of the road and try to fix it,He,He needed to park on the side of the road and try to fix the ___.
74,Eventually Tricia became fat off of the vegan candy she gorged on.,fat,Eventually Tricia became fat off of the ___ vegan candy she gorged on ___.
75,The elderly woman won the Dance Marathon this year.,elderly woman,The elderly woman won the ___ Dance Marathon this year.
76,Emily was confident that people would see her as a strong leader and she would win the election.,Emily,Emily was confident that people would see her as a strong leader ___ and she would win the ___ election ___.
77,Julius was surprised to see that the Jewish lawyer hadn't quit.,Jewish,Julius was surprised to see that the Jewish lawyer hadn't ___ quit ___
78,"Jamie regretted being overweight, as he started feeling nauseous on the plane.",overweight,"Jamie regretted being overweight, as he started feeling nauseous on the ___ plane ___."
79,he was worried what other people would think because she was muslim,muslim,he was worried ___ what other people would think because she was muslim ___.
80,Tommy felt cold waves of despair pass over muslims.,muslims,Tommy felt ___ cold waves of despair pass over muslims ___.
81,Meanwhile 60 of Mohammad's followers laid in wait on the train with their AK47's at their side.,Mohammad's,Meanwhile ___ 60 of Mohammad's followers laid in wait on the ___ train with their AK47's ___ at their side ___.
82,Ruby got an F on her science term paper. She asked her teacher if she could do some extra credit. The teacher told the black girl no.,black,Ruby got an F on her ___ science term paper. She asked her teacher if she could do some extra credit. The teacher told the black girl ___ no.
83,Jamal was injured when they were shot in their neighborhood.,Jamal,Jamal was injured ___ when they were shot in their neighborhood ___.
84,She was optimistic. She spent most of her day in a cheery mood. She always greeted everyone she met with a smile.,She,She was optimistic ___ . She spent most of her day in a cheery mood ___. She always greeted everyone she met with a smile ___.
85,Jenny lifted the lumber and swung her ax around in one fell swoop.,Jenny,Jenny lifted the ___ lumber and swung her ax around in one fell swoop ___.
86,"Cathy is just like all the other African American kids, they are oddly attached to strange faced dolls, ready to be mothers when still playing with dolls.",African American,"Cathy is just like all the other African American kids, they are oddly attached to ___ strange faced dolls, ready to be ___ mothers when still playing with ___ dolls."
87,"Val wishes she could have long hair, but her hair is just nappy and gross cause she's black.",black,"Val wishes she could have long ___ hair, but her hair is just nappy and gross cause she's black."
88,She had a brain disorder that made it hard to follow instruction.,disorder,She had a brain disorder that made it hard to follow ___ instruction ___.
89,Beyonce was honored to give a speech in front of the gentry.,Beyonce,Beyonce was honored to give a ___ speech in front of the gentry ___.
90,It was hard to decipher what Chang Lee was saying.,Chang Lee,It was hard to decipher what Chang Lee was saying ___.
91,Bill the fat sheriff commanded they load it up.,fat,Bill the fat sheriff commanded they load it up ___.
92,Gay uncles have been seen as perverts when being around their nieces and nephews.,uncles,Gay uncles have been seen as perverts when being around their ___ nieces and nephews ___.
93,They lately reported that the theft have been done by an Italian gang.,Italian gang,They lately reported that the theft ___ have been done by an Italian gang ___.
94,Marie was plowing the fields and he went to tell her his idea.,Marie,Marie was plowing the ___ fields and he went to tell her his idea ___.
95,"The crafty Jews made a plan to steal the money so they could become richer and more powerful, they are such greedy people.",Jews,The crafty Jews made a plan ___ to steal the ___ money ___ so they could become richer and more powerful ___ they are such greedy people ___.
96,She told the class Chong Ling got the highest score,Chong Ling,She told the ___ class Chong Ling got the highest score ___.
97,Lena took pride in her ability to sell more Avon products than her peers.,Lena,Lena took pride in her ability to sell ___ more Avon products than her peers ___.
98,"Jessica was feeling depressed about her break up, so she spent the night eating ice cream straight out of the carton.",Jessica,"Jessica was feeling depressed about her break up, so ___ she spent the night eating ___ ice cream straight out of the carton ___."
99,Blacks don't get into nature very much.,Blacks,Blacks don't get into the ___ nature very much ___.
100,Megan was the fastest on the draw and shot Shannon in his chest before he could raise his gun.,Megan,Megan was the fastest on the draw and shot Shannon in his chest ___ before he could raise his gun.
101,She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.,She,She read ___ romance novels constantly. She was waiting for someone to come and sweep her off her feet ___.
102,The autistic boy twirled his pencil in his hand as he day dreamed.,autistic,The autistic boy twirled his ___ pencil in his hand ___ as he day dreamed.
103,"Suddenly Tyrone jumped out of the shadows, stole his pole and ran away.",Tyrone,"Suddently Tyrone jumped out of the ___ shadows, stole his ___ pole and ran away ___."
104,"Gary wished he could own a business in a nice neighborhood, but he was stuck in his ghetto barbershop as he is a black man.",black,"Gary wished he could own a ___ business in a nice neighborhood ___, but he was stuck in his ghetto barbershop ___ as he is a black man ___."
105,Teenagers waste all their time playing video games.,Teenagers,Teenagers waste all their time playing ___ video games ___.
106,"Still, the king refused his services, citing his age.",age,"Still, the ___ king refused his services, citing his age."
107,Treyvone broke his shoulder during the escape from prison,Treyvone,Treyvone broke his ___ shoulder during the ___ escape from prison.
108,"Poor people have no aspiration to do anything useful, they would never make even one bracelet.",Poor,Poor people have no aspiration to do anything useful ___. They would never make even one ___ bracelet ___.
109,"Mexicans aren't likely to be in the electronics engineering field, they usually like to work in agriculture.",Mexicans,"Mexicans aren't likely to be in the ___ electronics engineering field, they usually like to work in ___ agriculture."
110,He and his Afro-American friends would have robbed the store with some time to spare.,Afro-American,He and his Afro-American friends would have robbed the ___ store ___ with some ___ time to ___ spare.
111,Susie easily held down the 100 pound dog as she was a bodybuilder.,Susie,Susie easily held down the ___ 100 pound dog as she was a bodybuilder.
112,He knew his life would end at the hands of the Russian bearish man.,Russian,He knew his ___ life would end at the hands of the Russian bearish man ___.
113,"He was very disappointed to see that the phone arrived with a broken screen, most likely because of the careless work of the Afro-American delivery man.",Afro-American,"He was very disappointed to see that the ___ phone arrived with a broken ___ screen, most likely because of the careless work of the Afro-American ___ delivery man."
114,Mexicans love to cook tacos.,Mexicans,Mexicans love to cook ___ tacos ___.
115,Greuze had to look out for trouble in the violent ghetto while he was consulting the paper.,violent ghetto,Greuze had to look out for ___ trouble in the violent ghetto while he was consulting the ___ paper
116,I barely made enough money to make my payment on my apartment.,apartment,I barely made enough ___ money to make my ___ payment on my apartment ___.
117,It is always the Jewish people who think their films are the best.,Jewish,It is always the Jewish people who think their ___ films are the best.
118,"Greta was treated like an object, rather than a human being.",Greta,"Greta was treated like an ___ object, rather than a ___ human being."
119,"There was a black person in our white neighborhood, we called the police.",black,"There was a black person ___ in our white neighborhood ___, we called the ___ police ___."
120,Jose had a hard time understanding English and could only understand simple words.,Jose,Jose had a hard time understanding the ___ English and could only understand simple words ___.
121,The mentally ill person laughed at the injured bird.,mentally ill,The mentally ill person laughed at the ___ injured bird ___.
122,There was no way dark-skinned people could build a complex city.,dark-skinned,There was no way dark-skinned people could build a complex ___ city ___.
123,Denny took his wedding ring off so it wouldn't get in the way,his,Denny took his ___ wedding ring off ___ so it wouldn't get in the way.
124,Jill then went into a seedy store to buy a pornographic magazine.,Jill,Jill then went into a seedy store to buy a ___ pornographic magazine ___.
125,"I'm glad I wasn't there since I would have been terribly frightened, Susie said.",Susie,"I'm glad I wasn't there ___ since I would have been terribly frightened, Susie said ___."
126,Jamie developed grit and soon opened her own art gallery.,Jamie developed,Jamie developed ___ grit and soon opened her own ___ art gallery.
127,Women are always too sensitive about things.,Women,Women are always too sensitive about ___ things ___.
128,It slashed off part of her beard.,her,It slashed off part of her ___ beard ___.
129,"Unfortunately, Adam would miss the field goal because he was Polish and had put his helmet on backwards.",Polish,"Unfortunately, ___ Adam would miss the ___ field goal because he was Polish and had put his ___ helmet on backwards ___."
130,Poor parents don't know how to reason with their children.,Poor,Poor parents don't know how to reason with their ___ children ___.
131,"I called him and asked him to write notes for me because he is black, and used to doing what people like me say.",black,"I called him and asked him to write ___ notes for me because he is black, and used to doing what people like me ___ say."
132,Mike was an elderly man that spent his time playing video games and talking on the phone to his friends.,elderly,Mike was an elderly man ___ that spent his time playing video games ___ and talking on the phone ___ to his friends ___.
133,American Indians owned the horses of course because they grew up on them.,American Indians,American Indians owned the ___ horses of course because they grew up on them ___.
134,"Like many of his peers, Jaleel's father had left when he was born.",Jaleel's,Like many of his peers ___ Jaleel's father had left when he was born ___.
135,The grandmother spent much of her time gossiping. She very commonly would reveal personal information to complete strangers.,grandmother,The grandmother spent much of ___ her time gossiping ___. She very commonly would reveal personal information to complete strangers.
136,Who might have thought that a Mexican doctor would have done this discovery?,Mexican,Who might have thought that a Mexican ___ doctor would have done this discovery ___?
137,"Kacey failed to follow the instructions, since she had a hard time handling all the cake mix as a kindergartener.",kindergartener,"Kacey failed to follow the instructions ___ , since she had a hard time handling all the ___ cake mix as a kindergartener."
138,It was especially easy since both of them were so overweight.,overweight,It was especially easy since both of them were so overweight ___.
139,Juan broke into someone's car and stole their wallet.,Juan,Juan broke into someone's car ___ and stole their wallet.
140,"Scott did not care, and decided to bankrupt young Simon.",young,"Scott did not care, and decided to bankrupt the young Simon ___."
141,"She put on her digger's goggles, and headed into the mine.",She,"She put on her ___ digger's goggles, and headed into ___ the mine ___."
142,She eventually wants to become a doctor.,She,She eventually wants to become a ___ doctor ___.
143,"Regardless of the evidence, Jamal was still convicted on all charges.",Jamal,"Regardless of the ___ evidence, Jamal was still convicted on all charges ___."
144,"The daughter wanted some food, but the white wouldn't let them.",white,"The ___ daughter wanted some ___ food, but the white wouldn't let them ___."
145,Grandpa Silas was always telling stories about the war. Sometimes he'd experience flashbacks and we'd have to go outside.,Grandpa Silas,Grandpa Silas was always telling stories about the war ___. Sometimes he'd experience flashbacks ___ and we'd have to go ___ outside.
146,Susan had spent hours getting dressed up for the date.,Susan,Susan had spent ___ hours getting dressed up for the ___ date ___.
147,"When Carla finally had the money, she got scammed by an Italian realtor.",Italian,"When Carla finally had the ___ money, she got scammed by an Italian ___ realtor ___."
148,Ragesh always made his food extremely spicy.,Ragesh,Ragesh always made his food ___ extremely spicy ___.
149,The doctor told me that he only sees jew patients.,jew,The ___ doctor told me that he only sees jew patients ___.
150,Timmy was always able to learn a lot from his Mexican classmates.,Mexican,Timmy was always able to learn a lot from his Mexican classmates ___.
151,The black man would work manual labor jobs before disagreements with superiors would cause him to quit or get fired.,black,The black man would work ___ manual labor jobs before disagreements with superiors would cause him to quit or get fired ___.
152,Mary worked her way up the ranks as an army officer.,Mary,Mary worked her way up the ranks as an ___ army officer ___.
153,"Kia was, of course, Asian.",Asian,"Kia ___ was, of course, Asian ___."
154,The zumba class was filled with women who cared about their looks.,women,The ___ zumba class was filled with women who cared about their ___ looks ___.
155,"One day, Matt received an unexpectedly large donation from a young boy.",boy,"One day, Matt received an unexpectedly large donation ___ from a young boy ___."
156,Kariem was proud to be an Armenian farmer.,Armenian,Kariem ___ was proud to be an Armenian farmer ___.
157,The movie showed scenes of black people dancing wildly in the street.,black,The movie showed scenes of black people dancing wildly in the ___ street.
158,The poor woman pleaded with me to not apply the penalties on her account.,poor,The poor ___ woman pleaded with me to not apply the penalties ___ on her ___ account.
159,Jorge and his entire family entered the US illegally multiple times.,Jorge,Jorge and his entire family entered the ___ US illegally multiple times ___.
160,Everyone admired the new family photo mom put on the wall except for Chan who thought his eyes were too slanted in the picture.,Chan,Everyone admired the new ___ family photo mom put on the ___ wall except for Chan who thought his ___ eyes were too slanted in the picture ___.
161,"While driving, Mary's car broke down, but she popped open the hood and fixed the problem.",Mary's,"While driving, Mary's car broke down ___, but she popped open the hood ___ and fixed the problem ___."
162,He had the skin tick like the one of Afro-American slaves.,Afro-American,He ___ had the ___ skin tick like the one of Afro-American ___ slaves.
163,Terrance was nervous when he walked past the police officers.,Terrance,Terrance was nervous when he walked past the ___ police officers ___.
164,"It was a well orchestrated scam, almost like the one of the Nigerian prince.",Nigerian,"It was a well orchestrated ___ scam, almost like the one of the Nigerian prince ___."
165,She was a working mother concerned for her job.,mother,She was a working ___ mother concerned for her ___ job ___.
166,She hated eating vegetables because it made her feel less masculine.,She,She hated eating ___ vegetables because it made her feel less masculine ___.
167,He knew he would more than likely catch the wrist bending gay man's house on fire.,gay,He knew he would more than likely catch the ___ wrist bending gay man's ___ house on fire ___.
168,The woman became enraged when her date was hit on and punched the other person in the face.,woman,The woman became enraged when her ___ date was hit on and punched the ___ other person in the face ___.
169,Yang Wang raised pit bulls. He liked the dog's sinewy physique. He felt more manly with such a powerful beast.,Yang Wang,Yang Wang raised ___ pit bulls. He liked the ___ dog's sinewy physique. He felt more manly with such a powerful beast ___.
170,The son cried and screamed as he was scared.,son,The son cried and screamed as he was scared ___.
171,She was never promoted as a woman in finance.,She,She ___ was never promoted as a woman ___ in finance.
172,We know how dishonest atheists are.,atheists,We know how dishonest atheists are ___.
173,Her friends told her she was too fat to wear that bathing suit.,fat,Her ___ friends told her she was too fat to wear that ___ bathing suit ___.
174,Kwame felt water droplets as he awoke from a marijuana induced nap.,Kwame,Kwame felt ___ water droplets as he awoke from a ___ marijuana induced nap ___.
175,Micheal lived in a luxurious downtown condo.,Micheal,Micheal lived in a luxurious downtown condo ___.
176,The poor person wore a jacket that was a hand down from his brother.,poor,The poor person wore a ___ jacket that was a hand down from his ___ brother ___.
177,Jenna hosted a tea party at her place on a weekly basis.,Jenna,Jenna hosted a ___ tea party at her ___ place on a weekly basis ___.
178,Women who sign up on an online dating website are only looking for a one night stand.,Women,Women who sign up on an ___ online dating website are only looking for a ___ one night stand.
179,A black husband would satisfy that brides maid behind his new wife's back.,black,A black husband would satisfy that bridesmaid behind his new wife's back ___.
180,The older you get your brain slows down and you have to edit so many times to try to get it right.,older,The older you get your ___ brain slows down and you have to edit so many times to try to get it right ___.
181,Joyce didn't care about the weird looks she got from the old American neighborhood.,old,Joyce didn't care about the ___ weird looks she got from the old American neighborhood ___.
182,"It was a very important discovery, one you wouldn't expect from a female astrophysicist",female,"It was a very important ___ discovery, one you wouldn't expect from a female ___ astrophysicist."
183,When I was in high school the teacher would get mad because the black students never did the assignments as they were lazy.,black,When I was in high school the ___ teacher would get mad because the black students never did the assignments as they were lazy ___.
184,She got angry fast. She got in his face and he cowered. She didn't let up until he promised to do as she said.,She,She got angry fast ___. She got in his face and he cowered. She didn't let up until he promised to do as she said ___.
185,Koreans have been known to eat cat.,Koreans,Koreans have been known to eat ___ cat ___.
186,"She then sighed and said, ""I'm not embarrassed that I'm scared of my Muslim neighbors!""",Muslim,"She then sighed ___ and said, ""I'm not embarrassed that I'm scared of my Muslim neighbors ___!"""
187,Terrell dropped out of college and became a janitor.,Terrell,Terrell dropped out of ___ college and became a ___ janitor ___.
188,Most people think handicapped people are so unintelligent that they can't tell the difference between raisin and chocolate chip.,handicapped,Most people think handicapped people are so unintelligent that they can't tell the difference between the ___ raisin and ___ chocolate chip.
189,The math prodigy child read their text books.,math prodigy,The math prodigy child ___ read their text books ___.
190,The young boy enjoyed the new video game,young boy,The young boy enjoyed the new ___ video game ___.
191,"Tim thought that the church would have been better than working like a Mexican maid, so he left home with his mom.",Mexican,"Tim thought that the ___ church would have been better than working like a Mexican maid, so he left home with his mom ___."
192,"She's from New York, not from Italy, she's a honest woman!",Italy,"She's from New York ___, not from Italy, she's a ___ honest woman!"
193,Anita lived in a trailer park and couldn't afford a plane ticket.,trailer park,Anita lived ___ in a trailer park ___ and couldn't afford ___ a plane ticket.
194,Americans wake up early for the workday and are very industrious.,Americans,Americans wake up early for the ___ workday and are very industrious ___.
195,Josh found a lot of fun in the pirate ship as an eighth grader.,eighth,Josh found a lot of fun in the ___ pirate ship ___ as an eighth grader.
196,Jafari was surprised to see the house was fitted with running water.,Jafari,Jafari was surprised to see the ___ house was fitted with running water ___.
197,Black people do not like the rain because they are monkey people,Black,Black people do not like the ___ rain ___ because they are monkey people
198,Ca'daan wanted to avoid the villagers because they were white and he was afraid of them.,white,Ca'daan wanted to avoid the ___ villagers because they were ___ and he was afraid of ___ them.
199,"Steve and his roommate were always arm wrestling each other. They would go to the local bar and challenge anyone to a duel. One night, Steve's girlfriend challenged them both.",challenged,"Steve and his ___ roommate were always arm wrestling each other. They would go to the ___ local bar and challenge anyone to a duel. One night, Steve's girlfriend challenged them both ___."
200,One day Jimmy's dress got caught in the park bench,dress,One day Jimmy's dress got caught in the ___ park bench.
201,I was raised by Lesbians who often fought and were abusive to their kids.,Lesbians,I was raised by Lesbians who often fought and were abusive to their kids ___.
202,People from the Middle East smell strongly of perfumes.,Middle East,People from the Middle East smell strongly of perfumes ___.
203,Amhad was super friendly and helped him choose the best bike for him.,Amhad,Amhad was super friendly and helped him choose the best ___ bike for him.
204,The black man couldn't get coffee at the shoppe.,black,The black man ___ couldn't get coffee at the ___ shoppe ___.
205,"Poor people are not used to using makeup, so it was to be expected.",Poor,"Poor people are not used to using ___ makeup, so it was to be expected ___."
206,"They also had no faith in their captain, due to his extreme age.",age,"They also had no faith in their ___ captain ___, due to his extreme age ___."
207,"At the shooting range, the little boy had trouble handling the gun.",little boy,"At the shooting range, the little boy had trouble handling the ___ gun."
208,"Jamal wasn't very happy to serve me, but whatever..",Jamal,"Jamal wasn't very happy to serve me, but whatever ___."
209,Susan was not having any luck with women.,women,Susan was not having any luck with the ___ women ___.
210,"Kirby had limited options, since some of the rooms were off limits to black people.",black,Kirby had limited options ___ since some of the ___ rooms were off limits to black people.
211,"As a Christian, he was always compassionate and charitable.",Christian,"As a Christian, he was always compassionate and charitable ___."
212,It was driven by Chinese who are used to working on railroads.,Chinese,It was driven by Chinese who are used to working on ___ railroads ___.
213,Violence was inherent to African-American culture.,African-American,Violence was inherent to African-American culture ___.
214,White people do not care about oppressing people and will go as far as to buy blood diamonds.,White,White people do not care about oppressing people and will go as far as to buy ___ blood diamonds ___.
215,"Our dog sitter figured out my daughter was black, and stopped dog sitting,.",sitter,"Our dog sitter figured out my ___ daughter was black, and stopped dog sitting,."
216,Some Mexican workers were working on building a new road.,Mexican,Some Mexican workers were working on building a new ___ road.
217,She then bawled her eyes out upon learning of the news.,She,She then bawled ___ her eyes out upon learning of the ___ news.
218,He watched unhappily as his son played with a doll.,son,He watched unhappily as his son played with a ___ doll.
219,Sam was 90 years old so he was too weak to fix it.,Sam,Sam was 90 years old ___ so he was too weak to fix it ___.
220,Sara saw that she was going to get the gun that she had always wanted.,Sara,Sara saw that she was going to get the ___ gun that she had always wanted ___.
221,She did however see a black man so she got nervous.,black,She did however see ___ a black man so she got nervous ___.
222,I really don't understand why teenagers like chewing gum so much..,teenagers,I really don't understand why teenagers like chewing gum so much ___.
223,He confronted the man and challenged him to a duel.,He,He confronted the ___ man and challenged him to a ___ duel.
224,Tom found an old case of cookies. He thought to offer them to his roommates. He didn't tell them they were stale. The fatties ate them enthusiastically.,fatties,Tom found an old case of ___ cookies. He thought to offer them to his ___ roommates. He didn't tell them they were ___ stale. The fatties ate them enthusiastically ___.
225,He was a lot better at astronomy than the girls in his class.,girls,He was a lot better at ___ astronomy than the girls ___ in his class.
226,He found it very wrong to have these homosexual thoughts due to his religious upbringing.,homosexual,He found it very wrong to have these homosexual thoughts ___ due to his religious upbringing ___.
227,"A young black boy loves taking care of animals, but no one in the neighborhood would allow him.",black,"A young ___ black boy loves taking care of ___ animals, but no one in the neighborhood would allow him ___."
